,request_time,edge,response_code
0,104.968308,edge1,200
1,35.50373,edge1,200
2,34.781398,edge1,200
3,35.88061,edge1,200
4,34.199348,edge1,200
5,34.972283,edge1,200
6,34.765723,edge1,200
7,35.047522,edge1,200
8,34.723565,edge1,200
9,35.858838,edge1,200
10,34.321292,edge1,200
11,34.135551,edge1,200
12,35.992707,edge1,200
13,35.439859,edge1,200
14,34.521148,edge1,200
15,35.332739,edge1,200
16,35.122135,edge1,200
17,35.811684,edge1,200
18,35.683973,edge1,200
19,37.133317,edge1,200
20,35.73826,edge1,200
21,35.688172,edge1,200
22,36.019801,edge1,200
23,35.116399,edge1,200
24,34.688583,edge1,200
25,35.121789,edge1,200
26,37.579934,edge1,200
27,35.145496,edge1,200
28,33.828185,edge1,200
29,35.023271,edge1,200
30,34.313947,edge1,200
31,35.723364,edge1,200
32,35.293329,edge1,200
33,34.502443,edge1,200
34,36.820617,edge1,200
35,34.129997,edge1,200
36,35.40425,edge1,200
37,35.111488,edge1,200
38,35.635308,edge1,200
39,36.247898,edge1,200
40,35.214068,edge1,200
41,32.365396,edge1,200
42,37.107046,edge1,200
43,36.888274,edge1,200
44,34.828583,edge1,200
45,35.188425,edge1,200
46,34.411537,edge1,200
47,34.507733,edge1,200
48,35.464512,edge1,200
49,33.609162,edge1,200
50,37.032201,edge1,200
51,34.782016,edge1,200
52,34.669671,edge1,200
53,35.708907,edge1,200
54,34.267301,edge1,200
55,34.711568,edge1,200
56,35.05379,edge1,200
57,35.010206,edge1,200
58,35.495292,edge1,200
59,34.181196,edge1,200
60,34.531123,edge1,200
61,33.857643,edge1,200
62,35.514767,edge1,200
63,36.870403,edge1,200
64,35.885239,edge1,200
65,34.68996,edge1,200
66,35.035529,edge1,200
67,35.896195,edge1,200
68,35.255232,edge1,200
69,36.29643,edge1,200
70,33.991688,edge1,200
71,36.280784,edge1,200
72,33.77534,edge1,200
73,34.690867,edge1,200
74,34.820244,edge1,200
75,38.115209,edge1,200
76,35.346018,edge1,200
77,35.267748,edge1,200
78,36.797214,edge1,200
79,35.529199,edge1,200
80,34.979142,edge1,200
81,34.184033,edge1,200
82,35.228136,edge1,200
83,35.476555,edge1,200
84,33.421244,edge1,200
85,33.763091,edge1,200
86,35.994048,edge1,200
87,35.408173,edge1,200
88,36.292746,edge1,200
89,35.360046,edge1,200
90,35.444537,edge1,200
91,34.304813,edge1,200
92,35.432851,edge1,200
93,34.104747,edge1,200
94,36.583572,edge1,200
95,35.959553,edge1,200
96,34.904643,edge1,200
97,33.980778,edge1,200
98,32.753427,edge1,200
99,35.191797,edge1,200
100,34.466582,edge1,200
101,33.308856,edge1,200
102,34.575686,edge1,200
103,35.258988,edge1,200
104,33.268334,edge1,200
105,35.029375,edge1,200
106,34.621407,edge1,200
107,34.782503,edge1,200
108,33.83825,edge1,200
109,34.998419,edge1,200
110,34.470501,edge1,200
111,34.454416,edge1,200
112,33.7332,edge1,200
113,34.746797,edge1,200
114,34.239954,edge1,200
115,35.478992,edge1,200
116,33.995572,edge1,200
117,35.339753,edge1,200
118,36.095234,edge1,200
119,35.752304,edge1,200
120,35.46459,edge1,200
121,35.338747,edge1,200
122,35.900927,edge1,200
123,35.752793,edge1,200
124,33.811005,edge1,200
125,34.150114,edge1,200
126,34.780895,edge1,200
127,34.731297,edge1,200
128,33.867585,edge1,200
129,33.409604,edge1,200
130,33.565693,edge1,200
131,35.153493,edge1,200
132,34.452165,edge1,200
133,36.442926,edge1,200
134,36.179142,edge1,200
135,36.508862,edge1,200
136,37.031424,edge1,200
137,35.419299,edge1,200
138,34.699085,edge1,200
139,35.348784,edge1,200
140,34.870815,edge1,200
141,35.405933,edge1,200
142,38.057861,edge1,200
143,33.817497,edge1,200
144,34.94754,edge1,200
145,35.616209,edge1,200
146,35.800437,edge1,200
147,36.965393,edge1,200
148,35.433593,edge1,200
149,37.258685,edge1,200
150,35.545875,edge1,200
151,33.744913,edge1,200
152,35.811494,edge1,200
153,34.817024,edge1,200
154,34.840194,edge1,200
155,33.34892,edge1,200
156,34.311487,edge1,200
157,35.993605,edge1,200
158,35.48784,edge1,200
159,35.670632,edge1,200
160,34.635867,edge1,200
161,34.161512,edge1,200
162,35.254786,edge1,200
163,32.895601,edge1,200
164,35.077219,edge1,200
165,35.270261,edge1,200
166,34.237038,edge1,200
167,35.01751,edge1,200
168,34.707309,edge1,200
169,35.661283,edge1,200
170,33.438898,edge1,200
171,32.704904,edge1,200
