,request_time,edge,response_code
0,106.680413,edge3,200
1,34.063074,edge3,200
2,33.762139,edge3,200
3,34.732308,edge3,200
4,33.52974,edge3,200
5,33.638142,edge3,200
6,34.143972,edge3,200
7,36.189212,edge3,200
8,35.3455,edge3,200
9,36.927722,edge3,200
10,33.714783,edge3,200
11,37.745929,edge3,200
12,34.55949,edge3,200
13,35.330986,edge3,200
14,34.789171,edge3,200
15,35.805389,edge3,200
16,34.270881,edge3,200
17,35.465441,edge3,200
18,34.863468,edge3,200
19,35.712845,edge3,200
20,33.984209,edge3,200
21,35.974486,edge3,200
22,35.35243,edge3,200
23,37.910337,edge3,200
24,34.220869,edge3,200
25,33.764434,edge3,200
26,35.375949,edge3,200
27,39.535895,edge3,200
28,33.821566,edge3,200
29,34.890495,edge3,200
30,35.3331,edge3,200
31,34.700856,edge3,200
32,35.671241,edge3,200
33,37.854796,edge3,200
34,35.418466,edge3,200
35,35.071158,edge3,200
36,35.29599,edge3,200
37,34.334019,edge3,200
38,34.339546,edge3,200
39,35.713418,edge3,200
40,34.987309,edge3,200
41,34.895002,edge3,200
42,34.077191,edge3,200
43,33.442671,edge3,200
44,34.024143,edge3,200
45,35.368093,edge3,200
46,35.019707,edge3,200
47,35.232464,edge3,200
48,34.534166,edge3,200
49,34.85774,edge3,200
50,34.092563,edge3,200
51,33.76223,edge3,200
52,34.958298,edge3,200
53,34.927093,edge3,200
54,35.356522,edge3,200
55,35.260215,edge3,200
56,34.509053,edge3,200
57,35.839329,edge3,200
58,35.053064,edge3,200
59,34.403986,edge3,200
60,35.91847,edge3,200
61,35.347056,edge3,200
62,35.392638,edge3,200
63,34.980356,edge3,200
64,33.43383,edge3,200
65,35.918041,edge3,200
66,35.78996,edge3,200
67,34.289581,edge3,200
68,34.160329,edge3,200
69,34.116599,edge3,200
70,36.625082,edge3,200
71,35.887795,edge3,200
72,37.279631,edge3,200
73,36.345825,edge3,200
74,34.875349,edge3,200
75,34.962133,edge3,200
76,35.806543,edge3,200
77,34.33581,edge3,200
78,33.87281,edge3,200
79,34.200236,edge3,200
80,34.991717,edge3,200
81,34.946807,edge3,200
82,35.138686,edge3,200
83,34.012869,edge3,200
84,35.312689,edge3,200
85,38.06607,edge3,200
86,35.579458,edge3,200
87,34.972824,edge3,200
88,35.789786,edge3,200
89,34.408355,edge3,200
90,36.235219,edge3,200
91,34.729679,edge3,200
92,34.400847,edge3,200
93,35.533316,edge3,200
94,34.697961,edge3,200
95,34.818007,edge3,200
96,34.716303,edge3,200
97,33.490543,edge3,200
98,33.424109,edge3,200
99,34.459419,edge3,200
100,36.956403,edge3,200
101,34.509309,edge3,200
102,35.01468,edge3,200
103,34.342642,edge3,200
104,35.84553,edge3,200
105,34.844819,edge3,200
106,37.74408,edge3,200
107,34.795704,edge3,200
108,35.449084,edge3,200
109,34.848249,edge3,200
110,35.372002,edge3,200
111,35.22322,edge3,200
112,34.853714,edge3,200
113,35.24393,edge3,200
114,35.019835,edge3,200
115,34.535388,edge3,200
116,34.37451,edge3,200
117,32.991355,edge3,200
118,34.328025,edge3,200
119,34.871009,edge3,200
120,35.560094,edge3,200
121,35.065807,edge3,200
122,35.32726,edge3,200
123,36.335851,edge3,200
124,34.997619,edge3,200
125,34.063594,edge3,200
126,35.851684,edge3,200
127,35.156008,edge3,200
128,37.670977,edge3,200
129,37.002518,edge3,200
130,36.841472,edge3,200
131,36.310042,edge3,200
132,38.741107,edge3,200
133,34.837624,edge3,200
134,35.412618,edge3,200
135,34.152066,edge3,200
136,34.952448,edge3,200
137,33.198318,edge3,200
138,34.641484,edge3,200
139,35.208787,edge3,200
140,36.234477,edge3,200
141,35.076672,edge3,200
142,36.001813,edge3,200
143,34.280183,edge3,200
144,34.659865,edge3,200
145,34.898013,edge3,200
146,34.697187,edge3,200
147,35.771802,edge3,200
148,35.375985,edge3,200
149,35.077367,edge3,200
150,35.357091,edge3,200
151,35.405901,edge3,200
152,38.029667,edge3,200
153,35.480272,edge3,200
154,37.461807,edge3,200
155,34.990988,edge3,200
156,36.000938,edge3,200
157,36.188728,edge3,200
158,35.85074,edge3,200
159,35.78224,edge3,200
160,35.208781,edge3,200
161,35.440343,edge3,200
162,35.052874,edge3,200
163,35.751829,edge3,200
164,35.92367,edge3,200
165,34.655274,edge3,200
166,35.226255,edge3,200
167,35.4861,edge3,200
168,35.276415,edge3,200
169,36.298796,edge3,200
170,35.597583,edge3,200
171,35.154683,edge3,200
172,34.51334,edge3,200
173,34.223859,edge3,200
174,35.023553,edge3,200
175,33.470734,edge3,200
176,35.187081,edge3,200
177,35.798502,edge3,200
178,36.637581,edge3,200
179,35.732789,edge3,200
180,34.80641,edge3,200
181,33.680301,edge3,200
182,34.092449,edge3,200
183,33.670667,edge3,200
184,33.196299,edge3,200
185,34.666498,edge3,200
186,34.956225,edge3,200
187,33.327616,edge3,200
188,34.323387,edge3,200
189,36.746881,edge3,200
190,36.372073,edge3,200
191,37.699945,edge3,200
192,35.498252,edge3,200
193,34.452292,edge3,200
194,35.283009,edge3,200
195,33.842497,edge3,200
196,35.819604,edge3,200
197,33.8343,edge3,200
198,35.466774,edge3,200
199,34.030516,edge3,200
200,33.156559,edge3,200
201,33.400685,edge3,200
202,34.422851,edge3,200
203,34.535025,edge3,200
204,35.225651,edge3,200
205,33.507659,edge3,200
206,33.906123,edge3,200
207,35.12397,edge3,200
208,35.615445,edge3,200
209,40.27499,edge3,200
210,34.781531,edge3,200
211,34.236664,edge3,200
212,36.167048,edge3,200
213,34.282846,edge3,200
214,34.405863,edge3,200
215,34.976711,edge3,200
216,34.296332,edge3,200
217,34.016355,edge3,200
218,33.552792,edge3,200
219,35.764174,edge3,200
220,35.304758,edge3,200
221,34.560139,edge3,200
222,35.217754,edge3,200
223,33.587857,edge3,200
224,34.901313,edge3,200
225,35.046432,edge3,200
226,34.318877,edge3,200
227,34.477266,edge3,200
228,34.164966,edge3,200
229,33.752955,edge3,200
230,35.364329,edge3,200
231,35.657264,edge3,200
232,37.119341,edge3,200
