,request_time,edge,response_code
0,44.121066,edge2,200
1,15.651988,edge2,200
2,15.471465,edge2,200
3,17.14899,edge2,200
4,15.280308,edge2,200
5,15.465783,edge2,200
6,15.489432,edge2,200
7,15.775776,edge2,200
8,22.120247,edge2,200
9,15.893204,edge2,200
10,15.940736,edge2,200
11,18.174464,edge2,200
12,17.581825,edge2,200
13,17.144351,edge2,200
14,16.546883,edge2,200
15,16.348508,edge2,200
16,15.466312,edge2,200
17,16.086564,edge2,200
18,16.246044,edge2,200
19,16.030183,edge2,200
20,17.04685,edge2,200
21,15.822667,edge2,200
22,17.404533,edge2,200
23,17.060297,edge2,200
24,15.645362,edge2,200
25,14.728637,edge2,200
26,15.786215,edge2,200
27,15.854407,edge2,200
28,16.182838,edge2,200
29,15.243189,edge2,200
30,19.451104,edge2,200
31,15.109637,edge2,200
32,17.411753,edge2,200
33,16.213807,edge2,200
34,16.751393,edge2,200
35,19.531353,edge2,200
36,15.670625,edge2,200
37,15.817845,edge2,200
38,16.486822,edge2,200
39,16.773416,edge2,200
40,16.520385,edge2,200
41,16.796285,edge2,200
42,15.454063,edge2,200
43,15.870302,edge2,200
44,15.293525,edge2,200
45,14.507938,edge2,200
46,15.353742,edge2,200
47,16.408509,edge2,200
48,15.700847,edge2,200
49,16.103334,edge2,200
50,16.974321,edge2,200
51,16.018125,edge2,200
52,16.715204,edge2,200
53,15.980918,edge2,200
54,16.727487,edge2,200
55,16.479724,edge2,200
56,16.972209,edge2,200
57,15.945228,edge2,200
58,15.715768,edge2,200
59,14.742731,edge2,200
60,15.315532,edge2,200
61,14.757214,edge2,200
62,15.186239,edge2,200
63,14.955397,edge2,200
64,15.624862,edge2,200
65,17.718255,edge2,200
66,13.30559,edge2,200
67,15.762662,edge2,200
68,14.672589,edge2,200
69,15.353409,edge2,200
70,15.627328,edge2,200
71,15.790935,edge2,200
72,15.708208,edge2,200
73,15.336144,edge2,200
74,13.68775,edge2,200
75,14.736979,edge2,200
76,15.851142,edge2,200
77,15.209197,edge2,200
78,16.050119,edge2,200
79,16.067135,edge2,200
80,15.417711,edge2,200
81,15.211879,edge2,200
82,14.563314,edge2,200
83,14.170847,edge2,200
84,15.876081,edge2,200
85,13.885045,edge2,200
86,16.389766,edge2,200
87,15.408817,edge2,200
88,15.126639,edge2,200
89,14.880258,edge2,200
90,15.693343,edge2,200
91,15.964615,edge2,200
92,16.475509,edge2,200
93,15.737049,edge2,200
94,14.746381,edge2,200
95,18.787359,edge2,200
96,17.131112,edge2,200
97,15.319112,edge2,200
98,16.132668,edge2,200
99,15.904834,edge2,200
100,14.72978,edge2,200
101,14.909069,edge2,200
102,16.265073,edge2,200
103,15.238758,edge2,200
104,16.139098,edge2,200
105,14.541369,edge2,200
106,15.240514,edge2,200
107,15.312591,edge2,200
108,16.554774,edge2,200
109,15.877448,edge2,200
110,14.97104,edge2,200
111,14.695066,edge2,200
112,16.212796,edge2,200
113,15.487918,edge2,200
114,16.051203,edge2,200
115,16.787808,edge2,200
116,15.238465,edge2,200
117,15.676645,edge2,200
118,17.772408,edge2,200
119,15.434475,edge2,200
120,16.132844,edge2,200
121,16.096767,edge2,200
122,16.10563,edge2,200
123,14.7654,edge2,200
124,15.162633,edge2,200
125,13.588375,edge2,200
126,17.240752,edge2,200
127,16.147868,edge2,200
128,15.559837,edge2,200
129,14.763604,edge2,200
130,16.462758,edge2,200
131,15.761055,edge2,200
132,14.566359,edge2,200
133,14.948756,edge2,200
134,15.981143,edge2,200
135,14.670367,edge2,200
136,14.772577,edge2,200
137,16.330094,edge2,200
138,14.671906,edge2,200
139,15.542895,edge2,200
140,16.372126,edge2,200
141,16.211451,edge2,200
142,16.350505,edge2,200
143,16.292857,edge2,200
144,16.349056,edge2,200
145,15.972619,edge2,200
146,16.946601,edge2,200
147,16.101942,edge2,200
148,14.925678,edge2,200
149,16.002218,edge2,200
150,15.837937,edge2,200
151,16.124394,edge2,200
152,14.751954,edge2,200
153,16.662967,edge2,200
154,16.654659,edge2,200
155,14.534718,edge2,200
156,17.040039,edge2,200
157,15.533257,edge2,200
158,15.797668,edge2,200
159,13.983815,edge2,200
160,15.920785,edge2,200
161,15.259739,edge2,200
162,25.215448,edge2,200
163,16.388076,edge2,200
164,16.973048,edge2,200
165,15.302854,edge2,200
166,15.655367,edge2,200
167,15.119426,edge2,200
168,16.324893,edge2,200
169,14.966356,edge2,200
170,16.219307,edge2,200
171,15.541599,edge2,200
172,15.623426,edge2,200
173,14.558048,edge2,200
174,14.862444,edge2,200
175,15.877158,edge2,200
176,16.893416,edge2,200
177,17.257971,edge2,200
178,15.684652,edge2,200
179,16.343759,edge2,200
180,17.073472,edge2,200
181,17.398018,edge2,200
182,16.537779,edge2,200
183,17.335344,edge2,200
184,17.370814,edge2,200
185,18.901311,edge2,200
186,14.826759,edge2,200
187,15.434471,edge2,200
188,16.768607,edge2,200
189,16.129045,edge2,200
190,16.639975,edge2,200
191,15.243852,edge2,200
192,16.563559,edge2,200
193,15.318437,edge2,200
194,15.796992,edge2,200
195,15.036112,edge2,200
196,15.979926,edge2,200
197,17.381657,edge2,200
198,14.969596,edge2,200
199,15.159459,edge2,200
200,14.992639,edge2,200
201,14.819226,edge2,200
202,14.795213,edge2,200
203,14.920191,edge2,200
204,16.468252,edge2,200
205,16.019599,edge2,200
206,15.970644,edge2,200
207,14.830241,edge2,200
208,16.146928,edge2,200
209,15.569831,edge2,200
210,17.853063,edge2,200
211,15.516171,edge2,200
212,15.785009,edge2,200
213,16.401477,edge2,200
214,16.010792,edge2,200
215,17.20238,edge2,200
216,16.006404,edge2,200
217,16.385044,edge2,200
218,15.868105,edge2,200
219,14.271541,edge2,200
220,14.913386,edge2,200
221,15.791568,edge2,200
222,15.841023,edge2,200
223,15.062705,edge2,200
224,15.546827,edge2,200
225,15.24928,edge2,200
226,15.110949,edge2,200
227,15.105886,edge2,200
228,17.344649,edge2,200
229,15.417161,edge2,200
230,16.896563,edge2,200
231,16.021499,edge2,200
232,16.679975,edge2,200
233,14.632278,edge2,200
234,17.292751,edge2,200
235,15.213566,edge2,200
236,16.149965,edge2,200
237,15.124003,edge2,200
238,15.69463,edge2,200
239,15.621403,edge2,200
240,15.013175,edge2,200
241,15.970601,edge2,200
242,16.346756,edge2,200
243,15.688502,edge2,200
244,14.963431,edge2,200
245,18.124177,edge2,200
246,14.667946,edge2,200
247,16.723405,edge2,200
248,15.768523,edge2,200
249,14.626318,edge2,200
250,16.323422,edge2,200
251,14.670829,edge2,200
252,15.246081,edge2,200
253,14.802704,edge2,200
254,15.517624,edge2,200
255,16.334983,edge2,200
256,16.60769,edge2,200
257,15.141513,edge2,200
258,15.053748,edge2,200
259,15.426906,edge2,200
260,14.667115,edge2,200
261,16.318534,edge2,200
262,16.340701,edge2,200
263,15.935839,edge2,200
264,15.835665,edge2,200
265,17.62184,edge2,200
266,16.601972,edge2,200
267,16.781525,edge2,200
268,15.738646,edge2,200
269,15.030328,edge2,200
270,17.200737,edge2,200
271,15.459053,edge2,200
272,14.95981,edge2,200
273,17.38705,edge2,200
274,16.166705,edge2,200
275,15.800688,edge2,200
276,14.73119,edge2,200
277,15.485692,edge2,200
278,15.957418,edge2,200
279,16.036123,edge2,200
280,15.981018,edge2,200
281,18.339127,edge2,200
282,15.988261,edge2,200
283,17.714144,edge2,200
284,18.519953,edge2,200
285,14.632704,edge2,200
286,17.064771,edge2,200
287,15.464928,edge2,200
288,14.792438,edge2,200
289,14.195689,edge2,200
290,16.027922,edge2,200
291,15.27999,edge2,200
292,14.43729,edge2,200
293,16.015993,edge2,200
294,16.235606,edge2,200
295,16.730376,edge2,200
296,16.003505,edge2,200
297,15.468345,edge2,200
298,15.915315,edge2,200
299,16.509471,edge2,200
300,16.428011,edge2,200
301,17.115324,edge2,200
302,16.485943,edge2,200
303,22.090338,edge2,200
304,17.917057,edge2,200
305,15.465459,edge2,200
306,15.761673,edge2,200
307,16.859343,edge2,200
308,15.86939,edge2,200
309,17.297539,edge2,200
310,16.625442,edge2,200
311,16.71706,edge2,200
312,15.540584,edge2,200
313,17.155619,edge2,200
314,16.134653,edge2,200
315,16.686063,edge2,200
316,15.557871,edge2,200
317,17.278646,edge2,200
318,16.451687,edge2,200
319,16.259431,edge2,200
320,17.158985,edge2,200
321,15.915237,edge2,200
322,16.742819,edge2,200
323,17.130711,edge2,200
324,17.218723,edge2,200
325,17.494397,edge2,200
326,14.459489,edge2,200
327,19.903963,edge2,200
328,15.968884,edge2,200
329,17.984824,edge2,200
330,17.243092,edge2,200
331,16.410811,edge2,200
332,16.202528,edge2,200
333,15.347619,edge2,200
334,16.609023,edge2,200
335,15.757868,edge2,200
336,16.388896,edge2,200
337,16.829746,edge2,200
338,14.709619,edge2,200
339,14.710243,edge2,200
340,16.252945,edge2,200
341,15.305598,edge2,200
342,17.005515,edge2,200
343,16.800376,edge2,200
344,16.044842,edge2,200
345,16.445494,edge2,200
346,14.970016,edge2,200
347,14.565861,edge2,200
348,16.430756,edge2,200
349,15.437493,edge2,200
350,15.961347,edge2,200
351,14.863132,edge2,200
352,16.881351,edge2,200
353,16.082917,edge2,200
354,15.613507,edge2,200
355,15.992441,edge2,200
356,15.000662,edge2,200
357,15.4623,edge2,200
358,14.890252,edge2,200
359,14.844621,edge2,200
360,16.097101,edge2,200
361,15.088776,edge2,200
362,15.299568,edge2,200
363,16.234426,edge2,200
364,16.708267,edge2,200
365,16.981581,edge2,200
366,16.25836,edge2,200
367,16.436266,edge2,200
368,15.438949,edge2,200
369,15.506403,edge2,200
370,16.801196,edge2,200
371,14.888281,edge2,200
372,14.779666,edge2,200
373,16.319727,edge2,200
374,14.35424,edge2,200
375,16.347671,edge2,200
376,16.036549,edge2,200
377,16.494698,edge2,200
378,16.572983,edge2,200
379,15.672338,edge2,200
380,16.709348,edge2,200
381,17.026669,edge2,200
382,15.438186,edge2,200
383,17.658339,edge2,200
384,14.478803,edge2,200
385,16.388825,edge2,200
386,16.982598,edge2,200
387,16.201555,edge2,200
388,15.81388,edge2,200
389,16.909246,edge2,200
390,20.214393,edge2,200
391,14.996758,edge2,200
392,15.330435,edge2,200
393,15.361903,edge2,200
394,15.356327,edge2,200
395,15.231515,edge2,200
