,request_time,edge,response_code
0,42.659742,edge2,200
1,18.789335,edge2,200
2,15.975468,edge2,200
3,15.572154,edge2,200
4,14.252396,edge2,200
5,14.878736,edge2,200
6,14.633628,edge2,200
7,15.638434,edge2,200
8,15.049318,edge2,200
9,14.555408,edge2,200
10,15.326323,edge2,200
11,15.353675,edge2,200
12,24.338264,edge2,200
13,14.650182,edge2,200
14,16.616314,edge2,200
15,16.412907,edge2,200
16,15.97002,edge2,200
17,15.504567,edge2,200
18,14.975919,edge2,200
19,15.769435,edge2,200
20,17.110095,edge2,200
21,14.862854,edge2,200
22,14.50898,edge2,200
23,16.559526,edge2,200
24,14.816522,edge2,200
25,15.978896,edge2,200
26,14.924192,edge2,200
27,15.349341,edge2,200
28,15.396488,edge2,200
29,16.773125,edge2,200
30,20.378066,edge2,200
31,14.638671,edge2,200
32,15.363906,edge2,200
33,16.898904,edge2,200
34,16.12425,edge2,200
35,15.033841,edge2,200
36,16.13218,edge2,200
37,15.824089,edge2,200
38,15.509863,edge2,200
39,14.758761,edge2,200
40,16.369718,edge2,200
41,14.943157,edge2,200
42,15.299122,edge2,200
43,15.307499,edge2,200
44,16.1122,edge2,200
45,15.892582,edge2,200
46,15.354098,edge2,200
47,16.657899,edge2,200
48,15.947565,edge2,200
49,15.791269,edge2,200
50,16.826484,edge2,200
51,16.151252,edge2,200
52,14.249548,edge2,200
53,14.308929,edge2,200
54,16.752418,edge2,200
55,14.997992,edge2,200
56,14.42442,edge2,200
57,15.410858,edge2,200
58,14.506448,edge2,200
59,15.591015,edge2,200
60,19.888097,edge2,200
61,17.184509,edge2,200
62,15.903458,edge2,200
63,15.554186,edge2,200
64,16.011355,edge2,200
65,16.015144,edge2,200
66,15.980473,edge2,200
67,15.11092,edge2,200
68,16.77691,edge2,200
69,15.856017,edge2,200
70,15.975448,edge2,200
71,16.186826,edge2,200
72,15.555019,edge2,200
73,14.941696,edge2,200
74,15.365339,edge2,200
75,14.29017,edge2,200
76,15.337074,edge2,200
77,14.645739,edge2,200
78,15.094078,edge2,200
79,15.913258,edge2,200
80,16.715382,edge2,200
81,14.057131,edge2,200
82,14.588182,edge2,200
83,15.641972,edge2,200
84,14.52432,edge2,200
85,15.071798,edge2,200
86,15.903227,edge2,200
87,16.179533,edge2,200
88,15.258178,edge2,200
89,14.181185,edge2,200
90,15.49402,edge2,200
91,14.576007,edge2,200
92,15.272861,edge2,200
93,15.896682,edge2,200
94,15.160568,edge2,200
95,14.056197,edge2,200
96,17.34696,edge2,200
97,15.392241,edge2,200
98,15.302826,edge2,200
99,15.169194,edge2,200
100,14.01025,edge2,200
101,15.740145,edge2,200
102,14.970612,edge2,200
103,15.893458,edge2,200
