,request_time,edge,response_code
0,45.383441,edge2,200
1,15.64363,edge2,200
2,14.674692,edge2,200
3,15.908913,edge2,200
4,15.861771,edge2,200
5,17.02414,edge2,200
6,17.877718,edge2,200
7,17.786752,edge2,200
8,18.501824,edge2,200
9,15.953746,edge2,200
10,15.525176,edge2,200
11,17.786456,edge2,200
12,18.989148,edge2,200
13,17.187319,edge2,200
14,15.809121,edge2,200
15,17.390403,edge2,200
16,15.766358,edge2,200
17,15.798596,edge2,200
18,18.06407,edge2,200
19,15.074448,edge2,200
20,16.564672,edge2,200
21,16.20611,edge2,200
22,16.357852,edge2,200
23,14.389922,edge2,200
24,17.263619,edge2,200
25,16.40248,edge2,200
26,15.951873,edge2,200
27,14.507598,edge2,200
28,15.596664,edge2,200
29,15.476346,edge2,200
30,18.864727,edge2,200
31,13.648364,edge2,200
32,15.99785,edge2,200
33,19.425596,edge2,200
34,15.671993,edge2,200
35,16.710453,edge2,200
36,16.770587,edge2,200
37,17.610381,edge2,200
38,16.276671,edge2,200
39,15.407043,edge2,200
40,15.212908,edge2,200
41,17.398861,edge2,200
42,17.753517,edge2,200
43,17.944488,edge2,200
44,16.634978,edge2,200
45,15.963104,edge2,200
46,20.121651,edge2,200
47,16.166046,edge2,200
48,17.034899,edge2,200
49,17.42857,edge2,200
50,17.900585,edge2,200
51,16.464975,edge2,200
52,16.390385,edge2,200
53,15.58467,edge2,200
54,16.504888,edge2,200
55,16.248121,edge2,200
56,20.650396,edge2,200
57,16.874268,edge2,200
58,15.77822,edge2,200
59,15.474627,edge2,200
60,17.029266,edge2,200
61,13.973193,edge2,200
62,15.833801,edge2,200
63,16.730275,edge2,200
64,16.322212,edge2,200
65,15.997172,edge2,200
66,14.848409,edge2,200
67,15.735092,edge2,200
68,14.902592,edge2,200
69,14.824626,edge2,200
70,18.008637,edge2,200
71,15.487351,edge2,200
72,16.600686,edge2,200
73,17.350246,edge2,200
74,16.468768,edge2,200
75,16.676308,edge2,200
76,16.934244,edge2,200
77,16.625218,edge2,200
78,18.004862,edge2,200
79,16.565689,edge2,200
80,14.66374,edge2,200
81,17.151732,edge2,200
82,16.081596,edge2,200
83,15.332089,edge2,200
84,17.378071,edge2,200
85,15.897725,edge2,200
86,15.51081,edge2,200
87,16.149578,edge2,200
88,15.757277,edge2,200
89,15.634783,edge2,200
90,16.33839,edge2,200
91,16.594226,edge2,200
92,16.216309,edge2,200
93,15.401417,edge2,200
94,17.96556,edge2,200
95,16.386892,edge2,200
96,16.241795,edge2,200
97,16.239127,edge2,200
98,16.245869,edge2,200
99,16.01035,edge2,200
100,14.829238,edge2,200
101,15.084018,edge2,200
102,15.783729,edge2,200
103,15.146501,edge2,200
104,15.595762,edge2,200
105,15.161477,edge2,200
106,16.527858,edge2,200
107,16.242646,edge2,200
108,16.509412,edge2,200
109,15.155248,edge2,200
110,16.35485,edge2,200
111,16.320785,edge2,200
112,16.333878,edge2,200
113,15.873839,edge2,200
114,16.302376,edge2,200
115,14.697211,edge2,200
116,18.541508,edge2,200
117,15.864809,edge2,200
118,15.596281,edge2,200
119,16.322552,edge2,200
120,16.448704,edge2,200
121,14.598078,edge2,200
122,15.1106,edge2,200
123,17.678066,edge2,200
124,15.808621,edge2,200
125,16.671735,edge2,200
126,16.159112,edge2,200
127,17.496933,edge2,200
128,15.942873,edge2,200
129,16.069489,edge2,200
130,15.841335,edge2,200
131,17.215084,edge2,200
132,14.998581,edge2,200
133,16.838819,edge2,200
134,19.679945,edge2,200
135,16.420064,edge2,200
136,18.18938,edge2,200
137,15.53943,edge2,200
138,16.182671,edge2,200
139,15.701468,edge2,200
140,16.514228,edge2,200
141,15.971305,edge2,200
142,16.202242,edge2,200
143,15.653241,edge2,200
144,16.721904,edge2,200
145,15.540568,edge2,200
146,16.326781,edge2,200
147,16.566058,edge2,200
148,15.354479,edge2,200
149,16.553574,edge2,200
150,15.829803,edge2,200
151,15.923116,edge2,200
152,16.21867,edge2,200
153,15.129562,edge2,200
154,16.31348,edge2,200
155,15.263337,edge2,200
156,18.78609,edge2,200
157,20.483306,edge2,200
158,17.557828,edge2,200
159,19.0679,edge2,200
160,15.979707,edge2,200
161,15.925785,edge2,200
162,17.58915,edge2,200
163,17.666572,edge2,200
164,15.701948,edge2,200
165,15.58413,edge2,200
166,17.418254,edge2,200
167,15.967791,edge2,200
168,17.880583,edge2,200
169,15.464734,edge2,200
170,16.024855,edge2,200
171,16.837669,edge2,200
172,17.580492,edge2,200
173,16.654019,edge2,200
174,17.818455,edge2,200
175,17.935709,edge2,200
176,17.420837,edge2,200
177,17.402118,edge2,200
178,16.592676,edge2,200
179,16.362115,edge2,200
180,19.363496,edge2,200
181,16.247541,edge2,200
182,16.458971,edge2,200
183,16.022495,edge2,200
184,16.021081,edge2,200
185,15.797171,edge2,200
186,16.782821,edge2,200
187,17.142851,edge2,200
188,15.613668,edge2,200
189,17.24679,edge2,200
190,15.544962,edge2,200
191,16.633574,edge2,200
192,15.703009,edge2,200
193,17.287171,edge2,200
194,16.453118,edge2,200
195,17.710982,edge2,200
196,15.800969,edge2,200
197,15.151929,edge2,200
198,15.511768,edge2,200
199,15.646251,edge2,200
200,15.936768,edge2,200
201,17.06495,edge2,200
202,17.191639,edge2,200
203,15.04444,edge2,200
204,20.216359,edge2,200
205,15.614279,edge2,200
206,16.487003,edge2,200
207,16.135822,edge2,200
208,16.094813,edge2,200
209,14.62655,edge2,200
210,15.902903,edge2,200
211,15.925336,edge2,200
212,15.805138,edge2,200
213,16.649063,edge2,200
214,16.137158,edge2,200
215,15.962738,edge2,200
216,16.675748,edge2,200
217,16.091556,edge2,200
218,16.141793,edge2,200
219,15.488733,edge2,200
220,15.813476,edge2,200
221,16.300382,edge2,200
222,16.727614,edge2,200
223,14.924395,edge2,200
224,17.249315,edge2,200
225,16.67451,edge2,200
226,15.157744,edge2,200
227,16.55676,edge2,200
228,15.611535,edge2,200
229,16.366892,edge2,200
230,16.499455,edge2,200
231,16.360005,edge2,200
232,15.259337,edge2,200
233,16.16062,edge2,200
234,15.954965,edge2,200
235,18.006255,edge2,200
236,19.19133,edge2,200
237,16.12637,edge2,200
238,15.655537,edge2,200
239,16.943437,edge2,200
240,16.618021,edge2,200
241,16.889249,edge2,200
242,16.872031,edge2,200
243,15.658758,edge2,200
244,16.809004,edge2,200
245,17.37619,edge2,200
246,16.881621,edge2,200
247,15.652895,edge2,200
248,16.126268,edge2,200
249,16.687903,edge2,200
250,15.488084,edge2,200
251,16.22825,edge2,200
252,14.516451,edge2,200
253,16.295731,edge2,200
254,15.515281,edge2,200
255,16.57809,edge2,200
256,17.434325,edge2,200
257,15.070138,edge2,200
258,15.43237,edge2,200
259,16.189379,edge2,200
260,15.618833,edge2,200
261,16.829005,edge2,200
262,15.923702,edge2,200
263,16.231544,edge2,200
264,16.460933,edge2,200
265,14.757214,edge2,200
266,16.76669,edge2,200
267,19.059868,edge2,200
268,16.205599,edge2,200
269,15.189293,edge2,200
270,15.69737,edge2,200
271,16.610004,edge2,200
272,17.359347,edge2,200
273,15.267577,edge2,200
274,20.260435,edge2,200
275,17.378909,edge2,200
276,15.713218,edge2,200
277,16.991844,edge2,200
278,18.226298,edge2,200
279,15.896064,edge2,200
280,17.215368,edge2,200
281,16.33802,edge2,200
282,15.418367,edge2,200
283,15.866911,edge2,200
284,15.857965,edge2,200
285,15.146466,edge2,200
286,16.197254,edge2,200
287,15.727888,edge2,200
288,16.830134,edge2,200
289,15.018976,edge2,200
290,15.119333,edge2,200
291,15.264447,edge2,200
292,14.467494,edge2,200
293,15.583707,edge2,200
294,15.597933,edge2,200
295,16.433224,edge2,200
296,15.535885,edge2,200
297,15.503474,edge2,200
298,17.453232,edge2,200
299,16.750684,edge2,200
300,17.047412,edge2,200
301,16.275272,edge2,200
302,15.624514,edge2,200
303,15.681281,edge2,200
304,16.197364,edge2,200
305,19.060404,edge2,200
306,17.473555,edge2,200
307,14.898654,edge2,200
308,15.979832,edge2,200
309,14.899284,edge2,200
310,15.415956,edge2,200
311,15.427316,edge2,200
312,17.851468,edge2,200
313,15.427636,edge2,200
314,15.289682,edge2,200
315,17.661995,edge2,200
316,14.84069,edge2,200
317,15.975078,edge2,200
318,14.477457,edge2,200
319,14.861816,edge2,200
320,15.142277,edge2,200
321,15.227331,edge2,200
322,16.218418,edge2,200
