,request_time,edge,response_code
0,48.270063,edge1,200
1,16.468962,edge1,200
2,17.010691,edge1,200
3,16.261562,edge1,200
4,14.853659,edge1,200
5,14.91779,edge1,200
6,15.73746,edge1,200
7,14.692546,edge1,200
8,16.006746,edge1,200
9,16.103241,edge1,200
10,15.770621,edge1,200
11,14.528817,edge1,200
12,16.979213,edge1,200
13,16.206048,edge1,200
14,16.456061,edge1,200
15,16.316634,edge1,200
16,15.941406,edge1,200
17,16.271623,edge1,200
18,16.677942,edge1,200
19,16.358235,edge1,200
20,15.107383,edge1,200
21,16.527994,edge1,200
22,16.306376,edge1,200
23,16.00846,edge1,200
24,15.84132,edge1,200
25,15.176181,edge1,200
26,16.402099,edge1,200
27,16.600062,edge1,200
28,15.34774,edge1,200
29,18.662941,edge1,200
30,15.76437,edge1,200
31,16.003635,edge1,200
32,18.73782,edge1,200
33,16.138998,edge1,200
34,17.1462,edge1,200
35,14.994883,edge1,200
36,15.753802,edge1,200
37,15.863352,edge1,200
38,15.142699,edge1,200
39,15.118338,edge1,200
40,15.128702,edge1,200
41,15.034484,edge1,200
42,14.613583,edge1,200
43,16.211259,edge1,200
44,14.549461,edge1,200
45,16.85997,edge1,200
46,16.118996,edge1,200
47,14.690942,edge1,200
48,15.288461,edge1,200
49,16.723508,edge1,200
50,15.138426,edge1,200
51,15.201969,edge1,200
52,16.307463,edge1,200
53,16.001281,edge1,200
54,15.582534,edge1,200
55,15.295157,edge1,200
56,16.557291,edge1,200
57,16.342292,edge1,200
58,16.315972,edge1,200
59,15.022577,edge1,200
60,15.402317,edge1,200
61,15.45761,edge1,200
62,14.807444,edge1,200
63,16.270384,edge1,200
64,15.037797,edge1,200
65,16.182159,edge1,200
66,16.141717,edge1,200
67,16.171228,edge1,200
68,15.958108,edge1,200
69,17.086427,edge1,200
70,15.309591,edge1,200
71,15.427572,edge1,200
72,15.060866,edge1,200
73,15.499011,edge1,200
74,15.621317,edge1,200
75,16.242491,edge1,200
76,14.483043,edge1,200
77,14.225866,edge1,200
78,15.134523,edge1,200
79,15.228873,edge1,200
80,15.919244,edge1,200
81,15.002492,edge1,200
82,15.140255,edge1,200
83,16.259661,edge1,200
84,16.067061,edge1,200
85,16.199405,edge1,200
86,15.444125,edge1,200
87,15.144578,edge1,200
88,15.677615,edge1,200
89,15.429481,edge1,200
90,14.622946,edge1,200
91,14.622954,edge1,200
92,17.557888,edge1,200
93,16.330934,edge1,200
94,15.822413,edge1,200
95,15.954915,edge1,200
96,17.917039,edge1,200
97,15.732155,edge1,200
98,16.52479,edge1,200
99,14.851268,edge1,200
100,14.510574,edge1,200
101,14.37903,edge1,200
102,15.270238,edge1,200
103,15.659652,edge1,200
104,15.689756,edge1,200
105,16.181073,edge1,200
106,15.722055,edge1,200
107,16.943375,edge1,200
108,16.226061,edge1,200
109,16.61928,edge1,200
110,14.880371,edge1,200
111,15.13938,edge1,200
112,17.395519,edge1,200
113,14.902955,edge1,200
114,15.366891,edge1,200
115,15.809295,edge1,200
116,14.556356,edge1,200
117,14.23794,edge1,200
118,16.169712,edge1,200
119,16.033891,edge1,200
120,15.955004,edge1,200
121,16.116313,edge1,200
122,14.452252,edge1,200
123,15.61869,edge1,200
124,15.668085,edge1,200
125,16.298124,edge1,200
126,15.631959,edge1,200
127,15.786983,edge1,200
128,18.863542,edge1,200
129,14.851692,edge1,200
130,17.157919,edge1,200
131,15.139825,edge1,200
132,15.762771,edge1,200
133,14.810813,edge1,200
134,15.873343,edge1,200
135,14.305303,edge1,200
136,14.900255,edge1,200
137,17.12204,edge1,200
138,14.748635,edge1,200
139,15.690058,edge1,200
140,15.967722,edge1,200
141,15.55811,edge1,200
142,15.980473,edge1,200
143,16.15322,edge1,200
144,14.748208,edge1,200
145,15.674275,edge1,200
146,14.724804,edge1,200
147,16.105517,edge1,200
148,14.291665,edge1,200
149,15.939828,edge1,200
150,16.12321,edge1,200
151,15.986629,edge1,200
152,15.286913,edge1,200
153,15.276379,edge1,200
154,17.215387,edge1,200
155,15.832189,edge1,200
156,14.471363,edge1,200
157,15.344888,edge1,200
158,15.394236,edge1,200
159,14.879916,edge1,200
160,16.490028,edge1,200
161,16.953551,edge1,200
162,18.168122,edge1,200
163,15.439735,edge1,200
164,15.408544,edge1,200
165,15.204957,edge1,200
166,15.957138,edge1,200
167,14.939979,edge1,200
168,15.419735,edge1,200
169,15.530415,edge1,200
170,15.226977,edge1,200
171,15.385053,edge1,200
172,15.63237,edge1,200
173,16.401099,edge1,200
174,14.527107,edge1,200
175,15.683934,edge1,200
176,15.552092,edge1,200
177,16.367268,edge1,200
