,request_time,edge,response_code
0,52.733876,edge3,200
1,14.827349,edge3,200
2,15.712714,edge3,200
3,17.527802,edge3,200
4,14.637896,edge3,200
5,15.815822,edge3,200
6,15.085116,edge3,200
7,15.704509,edge3,200
8,14.822514,edge3,200
9,15.973263,edge3,200
10,15.73441,edge3,200
11,16.703218,edge3,200
12,15.083146,edge3,200
13,16.48055,edge3,200
14,16.124644,edge3,200
15,16.207979,edge3,200
16,15.509198,edge3,200
17,15.731754,edge3,200
18,15.657319,edge3,200
19,17.464413,edge3,200
20,14.724918,edge3,200
21,14.685192,edge3,200
22,15.79495,edge3,200
23,18.475783,edge3,200
24,15.877737,edge3,200
25,16.191671,edge3,200
26,15.872331,edge3,200
27,15.74294,edge3,200
28,15.470623,edge3,200
29,14.531216,edge3,200
30,19.431922,edge3,200
31,15.891726,edge3,200
32,17.451773,edge3,200
33,14.771007,edge3,200
34,14.391807,edge3,200
35,17.838847,edge3,200
36,15.904168,edge3,200
37,15.572662,edge3,200
38,15.969363,edge3,200
39,17.300693,edge3,200
40,15.103992,edge3,200
41,16.091652,edge3,200
42,14.686533,edge3,200
43,15.83519,edge3,200
44,15.548476,edge3,200
45,15.525526,edge3,200
46,15.047894,edge3,200
47,14.109013,edge3,200
48,14.681887,edge3,200
49,16.410905,edge3,200
50,15.354363,edge3,200
51,15.131503,edge3,200
52,14.90766,edge3,200
53,15.269367,edge3,200
54,14.5458,edge3,200
55,15.92466,edge3,200
56,15.833734,edge3,200
57,16.213012,edge3,200
58,15.786843,edge3,200
59,15.702783,edge3,200
60,16.292294,edge3,200
61,15.953645,edge3,200
62,17.124075,edge3,200
63,19.133238,edge3,200
64,16.651728,edge3,200
65,18.553325,edge3,200
66,15.482343,edge3,200
67,12.794978,edge3,200
68,15.983901,edge3,200
69,15.613103,edge3,200
70,14.293252,edge3,200
71,16.807512,edge3,200
72,15.180474,edge3,200
73,15.122125,edge3,200
74,15.711328,edge3,200
75,15.170106,edge3,200
76,15.48521,edge3,200
77,15.683506,edge3,200
78,16.156681,edge3,200
79,17.020323,edge3,200
80,15.347245,edge3,200
81,16.245943,edge3,200
82,14.140324,edge3,200
83,14.474236,edge3,200
84,16.016748,edge3,200
85,15.822655,edge3,200
86,16.14023,edge3,200
87,16.552156,edge3,200
88,15.103827,edge3,200
89,13.39609,edge3,200
90,14.576137,edge3,200
91,15.936059,edge3,200
92,15.623758,edge3,200
93,16.0809,edge3,200
94,18.17843,edge3,200
95,16.308014,edge3,200
96,15.77727,edge3,200
97,15.262632,edge3,200
98,21.207385,edge3,200
99,15.866662,edge3,200
100,17.282178,edge3,200
101,17.845326,edge3,200
102,15.373243,edge3,200
103,15.074404,edge3,200
104,14.397678,edge3,200
105,16.365131,edge3,200
106,15.422633,edge3,200
107,15.902313,edge3,200
108,15.201599,edge3,200
109,15.841828,edge3,200
110,13.903227,edge3,200
111,16.803838,edge3,200
112,14.998963,edge3,200
113,17.406999,edge3,200
114,14.730575,edge3,200
115,15.782077,edge3,200
116,14.047138,edge3,200
117,17.596043,edge3,200
118,15.11052,edge3,200
119,16.128218,edge3,200
120,17.244322,edge3,200
121,16.0527,edge3,200
122,14.940503,edge3,200
123,15.147209,edge3,200
124,15.860508,edge3,200
125,15.865132,edge3,200
126,14.680298,edge3,200
127,15.402649,edge3,200
128,15.136536,edge3,200
129,16.440773,edge3,200
130,14.599721,edge3,200
131,15.264916,edge3,200
132,14.682672,edge3,200
133,16.967649,edge3,200
134,16.18167,edge3,200
135,16.446493,edge3,200
136,17.456107,edge3,200
137,15.749812,edge3,200
138,15.595195,edge3,200
139,15.58497,edge3,200
140,15.608378,edge3,200
141,15.453619,edge3,200
142,15.043479,edge3,200
143,14.639176,edge3,200
144,16.154739,edge3,200
145,16.296626,edge3,200
146,17.054223,edge3,200
147,14.69268,edge3,200
148,14.68198,edge3,200
149,16.896374,edge3,200
150,15.543455,edge3,200
151,15.464494,edge3,200
152,16.397777,edge3,200
153,14.079981,edge3,200
154,15.796714,edge3,200
155,22.600572,edge3,200
156,16.257822,edge3,200
157,16.846139,edge3,200
158,15.874384,edge3,200
159,14.600556,edge3,200
160,17.356948,edge3,200
161,15.727663,edge3,200
162,15.376856,edge3,200
163,15.26401,edge3,200
164,17.397023,edge3,200
165,16.172539,edge3,200
166,15.882939,edge3,200
167,16.376812,edge3,200
168,16.639764,edge3,200
169,16.479814,edge3,200
170,13.73047,edge3,200
171,14.937564,edge3,200
172,15.99939,edge3,200
173,15.457253,edge3,200
174,16.228028,edge3,200
175,19.200182,edge3,200
176,16.495577,edge3,200
177,16.205304,edge3,200
178,15.346604,edge3,200
179,15.510583,edge3,200
180,16.159124,edge3,200
181,15.130555,edge3,200
182,15.091554,edge3,200
183,15.624866,edge3,200
184,17.446337,edge3,200
185,17.47057,edge3,200
186,16.797343,edge3,200
187,20.740049,edge3,200
188,15.919826,edge3,200
189,16.067601,edge3,200
190,15.407753,edge3,200
191,16.748099,edge3,200
192,16.439215,edge3,200
193,15.868956,edge3,200
194,16.600589,edge3,200
195,15.232478,edge3,200
196,14.844643,edge3,200
197,15.545393,edge3,200
198,15.383229,edge3,200
199,15.801272,edge3,200
200,14.849016,edge3,200
201,15.246036,edge3,200
202,15.614969,edge3,200
203,14.927478,edge3,200
204,15.030908,edge3,200
205,15.278729,edge3,200
206,14.211609,edge3,200
207,15.875546,edge3,200
208,19.169505,edge3,200
209,15.199957,edge3,200
210,15.974426,edge3,200
211,14.281857,edge3,200
212,15.548942,edge3,200
213,15.204917,edge3,200
214,16.977854,edge3,200
215,15.788651,edge3,200
216,15.663487,edge3,200
217,15.262123,edge3,200
218,14.461336,edge3,200
219,15.458593,edge3,200
220,16.421997,edge3,200
221,16.223636,edge3,200
222,14.326446,edge3,200
223,17.284744,edge3,200
224,14.565672,edge3,200
225,16.1972,edge3,200
226,15.703977,edge3,200
227,16.373371,edge3,200
228,16.379864,edge3,200
229,15.519124,edge3,200
230,14.945814,edge3,200
231,14.936246,edge3,200
232,13.912762,edge3,200
233,15.093428,edge3,200
234,14.790178,edge3,200
235,14.677088,edge3,200
236,16.597048,edge3,200
237,16.600735,edge3,200
238,13.651804,edge3,200
239,14.828999,edge3,200
240,15.432168,edge3,200
241,14.319349,edge3,200
242,15.015148,edge3,200
243,15.499788,edge3,200
244,14.563388,edge3,200
245,15.892648,edge3,200
246,14.536232,edge3,200
247,14.373245,edge3,200
248,16.167561,edge3,200
249,16.242645,edge3,200
250,15.949897,edge3,200
251,28.092727,edge3,200
252,14.280767,edge3,200
253,15.571899,edge3,200
254,15.047163,edge3,200
255,15.324605,edge3,200
256,15.080573,edge3,200
257,17.812344,edge3,200
258,15.502619,edge3,200
259,16.048983,edge3,200
260,15.808668,edge3,200
261,17.215054,edge3,200
262,15.410758,edge3,200
263,15.123236,edge3,200
264,15.515477,edge3,200
265,14.454524,edge3,200
266,16.346135,edge3,200
267,15.485222,edge3,200
268,18.468035,edge3,200
269,17.00324,edge3,200
270,15.598785,edge3,200
271,15.622011,edge3,200
272,16.710939,edge3,200
273,14.504755,edge3,200
274,16.208483,edge3,200
275,15.731104,edge3,200
276,15.87324,edge3,200
277,16.426245,edge3,200
278,17.536694,edge3,200
279,14.952613,edge3,200
280,14.572931,edge3,200
281,16.616065,edge3,200
282,15.375913,edge3,200
283,14.791186,edge3,200
284,16.684057,edge3,200
285,28.408598,edge3,200
286,16.188382,edge3,200
287,15.936247,edge3,200
288,14.870567,edge3,200
289,15.429373,edge3,200
290,16.001351,edge3,200
291,14.574055,edge3,200
292,14.728046,edge3,200
293,16.329871,edge3,200
294,16.427809,edge3,200
295,15.04378,edge3,200
296,16.212127,edge3,200
297,15.844453,edge3,200
298,16.369226,edge3,200
299,14.37,edge3,200
300,16.458052,edge3,200
301,15.798608,edge3,200
302,14.499263,edge3,200
303,16.397555,edge3,200
304,15.983579,edge3,200
305,15.828661,edge3,200
306,15.187625,edge3,200
307,19.65354,edge3,200
308,16.482279,edge3,200
309,15.374142,edge3,200
310,15.541335,edge3,200
311,15.243247,edge3,200
312,15.693218,edge3,200
313,16.019911,edge3,200
314,15.85771,edge3,200
315,15.21043,edge3,200
316,16.141338,edge3,200
317,14.936552,edge3,200
318,14.95485,edge3,200
319,15.708078,edge3,200
320,16.092255,edge3,200
321,16.101734,edge3,200
322,15.68549,edge3,200
323,15.533117,edge3,200
324,15.515881,edge3,200
325,16.241019,edge3,200
326,14.949101,edge3,200
327,14.779812,edge3,200
328,16.729611,edge3,200
329,16.782129,edge3,200
330,14.877818,edge3,200
