,request_time,edge,response_code
0,19.552038,edge3,200
1,8.578534,edge3,200
2,8.248312,edge3,200
3,8.488566,edge3,200
4,8.344242,edge3,200
5,9.907391,edge3,200
6,9.300481,edge3,200
7,9.246319,edge3,200
8,9.492669,edge3,200
9,8.827181,edge3,200
10,9.842734,edge3,200
11,9.117798,edge3,200
12,8.416122,edge3,200
13,12.308709,edge3,200
14,9.626302,edge3,200
15,9.179968,edge3,200
16,10.030113,edge3,200
17,9.085932,edge3,200
18,9.570792,edge3,200
19,8.968683,edge3,200
20,8.567338,edge3,200
21,8.402028,edge3,200
22,8.999268,edge3,200
23,8.525967,edge3,200
24,8.699998,edge3,200
25,9.044576,edge3,200
26,8.690721,edge3,200
27,9.162696,edge3,200
28,8.520722,edge3,200
29,12.204422,edge3,200
30,9.147834,edge3,200
31,8.510477,edge3,200
32,8.576077,edge3,200
33,8.253976,edge3,200
34,8.357468,edge3,200
35,7.94936,edge3,200
36,8.565077,edge3,200
37,8.896589,edge3,200
38,7.993126,edge3,200
39,8.609444,edge3,200
40,10.270339,edge3,200
41,8.545367,edge3,200
42,7.943897,edge3,200
43,7.647301,edge3,200
44,8.479615,edge3,200
45,12.8047,edge3,200
46,9.202768,edge3,200
47,8.030691,edge3,200
48,9.245557,edge3,200
49,8.193309,edge3,200
50,8.547998,edge3,200
51,8.071887,edge3,200
52,7.84161,edge3,200
53,8.301362,edge3,200
54,8.023534,edge3,200
55,7.875813,edge3,200
56,7.965364,edge3,200
57,8.46554,edge3,200
58,7.824722,edge3,200
59,7.66667,edge3,200
60,8.662793,edge3,200
61,8.105417,edge3,200
62,7.684876,edge3,200
63,7.763777,edge3,200
64,7.953595,edge3,200
65,11.174041,edge3,200
66,7.892551,edge3,200
67,8.06908,edge3,200
68,7.801072,edge3,200
69,8.562068,edge3,200
70,8.653696,edge3,200
71,9.003816,edge3,200
72,8.074802,edge3,200
73,8.459602,edge3,200
74,8.655838,edge3,200
75,14.387142,edge3,200
76,8.151434,edge3,200
77,8.697284,edge3,200
78,9.317501,edge3,200
79,8.469215,edge3,200
80,8.424833,edge3,200
81,9.0229,edge3,200
82,7.683519,edge3,200
83,8.173361,edge3,200
84,8.644732,edge3,200
85,8.245089,edge3,200
86,10.398539,edge3,200
87,8.954315,edge3,200
88,9.822031,edge3,200
89,8.849529,edge3,200
90,8.150183,edge3,200
91,8.26604,edge3,200
92,8.477676,edge3,200
93,8.403953,edge3,200
94,8.234816,edge3,200
95,8.876951,edge3,200
96,8.004405,edge3,200
97,7.974018,edge3,200
98,8.809031,edge3,200
99,9.105773,edge3,200
