,request_time,edge,response_code
0,28.327866,edge1,200
1,8.195081,edge1,200
2,8.022212,edge1,200
3,8.295126,edge1,200
4,8.867545,edge1,200
5,7.70181,edge1,200
6,8.262148,edge1,200
7,10.655066,edge1,200
8,8.113706,edge1,200
9,7.90641,edge1,200
10,8.382381,edge1,200
11,9.712329,edge1,200
12,8.382856,edge1,200
13,8.683469,edge1,200
14,9.801986,edge1,200
15,8.758512,edge1,200
16,8.033368,edge1,200
17,8.126802,edge1,200
18,8.909443,edge1,200
19,8.445374,edge1,200
20,8.580182,edge1,200
21,11.853734,edge1,200
22,8.012215,edge1,200
23,8.114476,edge1,200
24,8.382815,edge1,200
25,8.756997,edge1,200
26,8.848061,edge1,200
27,8.877911,edge1,200
28,10.350153,edge1,200
29,13.216276,edge1,200
30,9.017383,edge1,200
31,8.733432,edge1,200
32,6.514208,edge1,200
33,8.368832,edge1,200
34,8.236259,edge1,200
35,7.679382,edge1,200
36,7.789185,edge1,200
37,8.238584,edge1,200
38,7.802135,edge1,200
39,7.350484,edge1,200
40,7.573761,edge1,200
41,8.791428,edge1,200
42,8.444668,edge1,200
43,7.632047,edge1,200
44,8.112203,edge1,200
45,8.018411,edge1,200
46,8.77991,edge1,200
47,9.885346,edge1,200
48,8.122766,edge1,200
49,7.950171,edge1,200
50,7.642998,edge1,200
51,7.900156,edge1,200
52,7.914038,edge1,200
53,8.182897,edge1,200
54,8.447882,edge1,200
55,7.897935,edge1,200
56,8.166809,edge1,200
57,8.122637,edge1,200
58,8.883888,edge1,200
59,8.000361,edge1,200
60,8.603771,edge1,200
61,8.578616,edge1,200
62,7.942484,edge1,200
63,7.854832,edge1,200
64,8.913912,edge1,200
65,8.583039,edge1,200
66,12.201868,edge1,200
67,9.087115,edge1,200
68,8.352217,edge1,200
69,11.101173,edge1,200
70,9.074158,edge1,200
71,8.037464,edge1,200
72,9.163473,edge1,200
73,8.078783,edge1,200
74,8.530829,edge1,200
75,8.209305,edge1,200
76,8.833151,edge1,200
77,7.710223,edge1,200
78,8.269435,edge1,200
79,8.02896,edge1,200
80,8.342907,edge1,200
81,8.279065,edge1,200
82,8.064304,edge1,200
83,7.741054,edge1,200
84,7.822837,edge1,200
85,7.811662,edge1,200
86,8.145843,edge1,200
87,7.808891,edge1,200
88,7.670802,edge1,200
89,7.876633,edge1,200
90,7.719565,edge1,200
91,9.312274,edge1,200
92,8.295126,edge1,200
93,8.035262,edge1,200
94,7.754033,edge1,200
95,8.221444,edge1,200
96,7.799978,edge1,200
97,7.710396,edge1,200
98,7.447613,edge1,200
99,8.140353,edge1,200
100,7.912325,edge1,200
101,7.979128,edge1,200
102,5.852658,edge1,200
103,8.088619,edge1,200
104,7.640865,edge1,200
105,8.061482,edge1,200
106,7.504297,edge1,200
107,7.735989,edge1,200
108,7.380516,edge1,200
109,8.000671,edge1,200
110,7.994967,edge1,200
111,8.485177,edge1,200
112,7.813923,edge1,200
113,7.965801,edge1,200
114,7.682243,edge1,200
115,8.716628,edge1,200
116,8.134427,edge1,200
117,7.858441,edge1,200
118,9.380174,edge1,200
119,8.552921,edge1,200
120,8.121936,edge1,200
121,7.762651,edge1,200
122,10.159015,edge1,200
123,7.693071,edge1,200
124,7.519637,edge1,200
125,7.533508,edge1,200
126,10.073743,edge1,200
127,8.43351,edge1,200
128,8.738775,edge1,200
129,8.53056,edge1,200
130,8.14915,edge1,200
131,8.154021,edge1,200
132,7.673555,edge1,200
133,7.761921,edge1,200
134,7.284075,edge1,200
135,8.005012,edge1,200
136,8.815745,edge1,200
137,7.761669,edge1,200
138,7.670351,edge1,200
139,7.634585,edge1,200
140,7.740822,edge1,200
141,7.011698,edge1,200
142,7.594971,edge1,200
143,8.062921,edge1,200
144,8.268523,edge1,200
145,8.594675,edge1,200
146,8.231424,edge1,200
147,6.964881,edge1,200
148,7.50054,edge1,200
149,7.072628,edge1,200
150,7.566464,edge1,200
151,7.658584,edge1,200
152,7.912619,edge1,200
153,7.63443,edge1,200
154,7.639891,edge1,200
155,7.773366,edge1,200
156,7.592671,edge1,200
157,7.630548,edge1,200
158,7.25625,edge1,200
159,7.549259,edge1,200
160,7.265494,edge1,200
161,8.064457,edge1,200
162,8.419932,edge1,200
163,8.194909,edge1,200
164,7.808481,edge1,200
165,8.208261,edge1,200
166,8.338554,edge1,200
167,7.715784,edge1,200
168,8.250845,edge1,200
169,8.027888,edge1,200
170,7.536217,edge1,200
171,7.911824,edge1,200
172,8.287277,edge1,200
173,7.822523,edge1,200
174,8.627442,edge1,200
175,9.544401,edge1,200
176,8.488576,edge1,200
177,11.002828,edge1,200
178,8.271656,edge1,200
179,8.609472,edge1,200
180,7.163323,edge1,200
181,7.773783,edge1,200
182,7.968897,edge1,200
183,7.551398,edge1,200
184,8.066321,edge1,200
185,7.904395,edge1,200
186,7.608852,edge1,200
187,7.742997,edge1,200
188,7.678922,edge1,200
189,7.580263,edge1,200
190,8.012378,edge1,200
191,8.504893,edge1,200
192,7.942274,edge1,200
193,9.06499,edge1,200
194,8.980988,edge1,200
195,9.002736,edge1,200
196,9.401766,edge1,200
197,7.761133,edge1,200
198,8.446052,edge1,200
199,8.286497,edge1,200
200,10.347765,edge1,200
201,7.924906,edge1,200
202,8.041417,edge1,200
203,7.845963,edge1,200
204,7.717006,edge1,200
205,8.710168,edge1,200
206,8.402547,edge1,200
207,8.212069,edge1,200
208,8.23182,edge1,200
209,8.871058,edge1,200
210,10.092499,edge1,200
211,7.716818,edge1,200
212,9.86171,edge1,200
213,9.330002,edge1,200
214,7.886525,edge1,200
215,8.550227,edge1,200
216,7.685699,edge1,200
217,7.608834,edge1,200
218,7.667306,edge1,200
219,7.941263,edge1,200
220,7.631901,edge1,200
221,8.371799,edge1,200
222,7.995045,edge1,200
223,7.350495,edge1,200
224,7.371689,edge1,200
225,7.392887,edge1,200
226,6.944559,edge1,200
227,6.978845,edge1,200
228,7.045687,edge1,200
229,8.713411,edge1,200
230,8.413026,edge1,200
231,8.436597,edge1,200
232,8.025491,edge1,200
233,7.169159,edge1,200
234,8.306929,edge1,200
235,7.358453,edge1,200
236,7.778716,edge1,200
237,8.127481,edge1,200
238,8.085691,edge1,200
239,7.66193,edge1,200
240,8.177189,edge1,200
241,8.06615,edge1,200
242,8.855887,edge1,200
243,7.910353,edge1,200
244,7.752238,edge1,200
245,7.848865,edge1,200
246,7.590606,edge1,200
247,8.276659,edge1,200
248,7.72307,edge1,200
249,11.946686,edge1,200
250,7.958018,edge1,200
251,8.584147,edge1,200
252,7.875483,edge1,200
253,7.523407,edge1,200
254,8.03443,edge1,200
255,7.276177,edge1,200
256,8.04922,edge1,200
257,7.628043,edge1,200
258,8.022813,edge1,200
259,7.840016,edge1,200
260,8.103518,edge1,200
261,7.859802,edge1,200
262,7.963485,edge1,200
263,7.831384,edge1,200
264,8.417489,edge1,200
265,8.729268,edge1,200
266,8.077229,edge1,200
267,8.107127,edge1,200
268,9.017828,edge1,200
269,7.890031,edge1,200
270,8.71908,edge1,200
271,8.204339,edge1,200
272,6.647721,edge1,200
273,8.9991,edge1,200
274,7.662828,edge1,200
275,7.97539,edge1,200
276,7.692213,edge1,200
277,8.071848,edge1,200
278,7.987199,edge1,200
279,7.911986,edge1,200
280,9.615357,edge1,200
281,9.023913,edge1,200
282,8.117979,edge1,200
283,7.899339,edge1,200
284,7.822832,edge1,200
285,7.865125,edge1,200
