,request_time,edge,response_code
0,43.07496,edge2,200
1,13.650124,edge2,200
2,22.408365,edge2,200
3,15.203102,edge2,200
4,16.007007,edge2,200
5,15.647532,edge2,200
6,16.996945,edge2,200
7,15.955063,edge2,200
8,21.689216,edge2,200
9,17.542439,edge2,200
10,16.216539,edge2,200
11,16.983581,edge2,200
12,15.354975,edge2,200
13,15.542938,edge2,200
14,16.243073,edge2,200
15,16.025801,edge2,200
16,14.491505,edge2,200
17,16.582835,edge2,200
18,14.976806,edge2,200
19,15.715118,edge2,200
20,14.567539,edge2,200
21,17.25192,edge2,200
22,15.762246,edge2,200
23,16.016231,edge2,200
24,16.119434,edge2,200
25,15.800953,edge2,200
26,14.20337,edge2,200
27,16.212025,edge2,200
28,16.153935,edge2,200
29,15.09534,edge2,200
30,17.840883,edge2,200
31,16.267831,edge2,200
32,15.705357,edge2,200
33,16.827197,edge2,200
34,16.109235,edge2,200
35,16.197437,edge2,200
36,15.769502,edge2,200
37,16.150603,edge2,200
38,15.502917,edge2,200
39,15.282479,edge2,200
40,15.75714,edge2,200
41,14.844048,edge2,200
42,15.800142,edge2,200
43,16.657215,edge2,200
44,16.616194,edge2,200
45,16.176319,edge2,200
46,18.654185,edge2,200
47,16.047222,edge2,200
48,17.150327,edge2,200
49,16.171219,edge2,200
50,15.15251,edge2,200
51,16.392665,edge2,200
52,16.294058,edge2,200
53,15.959482,edge2,200
54,16.564108,edge2,200
55,15.404963,edge2,200
56,16.56375,edge2,200
57,14.7386,edge2,200
58,15.782447,edge2,200
59,15.346008,edge2,200
60,13.698474,edge2,200
61,15.782917,edge2,200
62,14.518172,edge2,200
63,15.831682,edge2,200
64,15.360373,edge2,200
65,16.261996,edge2,200
66,15.4803,edge2,200
67,16.330905,edge2,200
68,14.97018,edge2,200
69,15.671522,edge2,200
70,16.037301,edge2,200
71,17.171473,edge2,200
72,16.536968,edge2,200
73,16.253158,edge2,200
74,16.533915,edge2,200
75,15.010138,edge2,200
76,15.98459,edge2,200
77,15.613665,edge2,200
78,16.11228,edge2,200
79,15.4025,edge2,200
80,15.554423,edge2,200
81,14.485426,edge2,200
82,15.560404,edge2,200
83,14.488876,edge2,200
84,14.811036,edge2,200
85,15.855537,edge2,200
86,15.481022,edge2,200
87,15.447959,edge2,200
88,15.269528,edge2,200
89,16.054086,edge2,200
90,15.140926,edge2,200
91,14.752375,edge2,200
92,15.094864,edge2,200
93,14.872445,edge2,200
94,15.330329,edge2,200
95,14.265605,edge2,200
96,15.407881,edge2,200
97,15.171197,edge2,200
98,15.679094,edge2,200
99,16.189024,edge2,200
100,15.321637,edge2,200
101,15.617612,edge2,200
102,15.841777,edge2,200
103,14.925951,edge2,200
104,16.427087,edge2,200
105,15.591722,edge2,200
106,16.108652,edge2,200
107,15.751724,edge2,200
108,15.93564,edge2,200
109,14.533963,edge2,200
110,16.706746,edge2,200
111,14.673267,edge2,200
112,15.308604,edge2,200
113,16.542352,edge2,200
114,15.564699,edge2,200
115,22.245072,edge2,200
116,17.308305,edge2,200
117,16.797413,edge2,200
118,15.826207,edge2,200
119,15.314162,edge2,200
120,17.324167,edge2,200
121,15.082109,edge2,200
122,16.234536,edge2,200
123,20.951901,edge2,200
124,15.387845,edge2,200
125,14.041676,edge2,200
126,15.798011,edge2,200
127,15.080521,edge2,200
128,16.175925,edge2,200
129,16.437429,edge2,200
130,16.479007,edge2,200
131,17.318271,edge2,200
132,16.049614,edge2,200
133,15.757282,edge2,200
134,15.061744,edge2,200
135,15.629803,edge2,200
136,14.798982,edge2,200
137,16.064343,edge2,200
138,15.63704,edge2,200
139,13.974513,edge2,200
140,15.748384,edge2,200
141,13.606031,edge2,200
142,15.934713,edge2,200
143,15.817575,edge2,200
144,16.366089,edge2,200
145,14.433176,edge2,200
146,15.716648,edge2,200
147,14.312452,edge2,200
148,15.068536,edge2,200
149,14.6347,edge2,200
150,15.883021,edge2,200
151,14.137618,edge2,200
152,20.519004,edge2,200
153,16.070958,edge2,200
154,15.019785,edge2,200
155,15.238033,edge2,200
156,14.363794,edge2,200
157,16.325456,edge2,200
158,16.064904,edge2,200
159,14.803971,edge2,200
160,14.941151,edge2,200
161,16.037464,edge2,200
162,18.167255,edge2,200
163,16.361594,edge2,200
164,16.744528,edge2,200
165,15.068993,edge2,200
166,15.272051,edge2,200
167,14.763827,edge2,200
