,request_time,edge,response_code
0,45.370131,edge3,200
1,16.053405,edge3,200
2,15.375559,edge3,200
3,16.286689,edge3,200
4,15.719487,edge3,200
5,14.59501,edge3,200
6,15.048424,edge3,200
7,15.881572,edge3,200
8,14.433352,edge3,200
9,16.144152,edge3,200
10,16.239397,edge3,200
11,15.804996,edge3,200
12,16.262667,edge3,200
13,16.484543,edge3,200
14,16.052697,edge3,200
15,15.045216,edge3,200
16,14.81705,edge3,200
17,14.206968,edge3,200
18,15.425362,edge3,200
19,15.150446,edge3,200
20,14.930854,edge3,200
21,16.634506,edge3,200
22,15.847037,edge3,200
23,18.748806,edge3,200
24,15.871363,edge3,200
25,14.775773,edge3,200
26,15.946438,edge3,200
27,15.423804,edge3,200
28,18.47305,edge3,200
29,16.202396,edge3,200
30,20.626366,edge3,200
31,15.361513,edge3,200
32,16.632006,edge3,200
33,14.844978,edge3,200
34,15.059615,edge3,200
35,15.078702,edge3,200
36,14.54015,edge3,200
37,13.81494,edge3,200
38,16.198855,edge3,200
39,14.63021,edge3,200
40,14.222738,edge3,200
41,15.453843,edge3,200
42,16.055955,edge3,200
43,14.498844,edge3,200
44,15.04801,edge3,200
45,15.485007,edge3,200
46,15.849085,edge3,200
47,16.474195,edge3,200
48,16.314164,edge3,200
49,15.614589,edge3,200
50,14.945579,edge3,200
51,15.25494,edge3,200
52,16.31776,edge3,200
53,15.551681,edge3,200
54,13.782819,edge3,200
55,15.737661,edge3,200
56,15.368822,edge3,200
57,15.47226,edge3,200
58,15.965044,edge3,200
59,15.282405,edge3,200
60,14.390384,edge3,200
61,15.168161,edge3,200
62,15.624006,edge3,200
63,16.027208,edge3,200
64,16.305653,edge3,200
65,16.559477,edge3,200
66,14.807021,edge3,200
67,15.383872,edge3,200
68,15.595549,edge3,200
69,16.171275,edge3,200
70,16.150581,edge3,200
71,16.631185,edge3,200
72,16.127618,edge3,200
73,15.357409,edge3,200
74,14.733392,edge3,200
75,18.456107,edge3,200
76,15.742434,edge3,200
77,15.812572,edge3,200
78,16.035354,edge3,200
79,16.197189,edge3,200
80,16.383427,edge3,200
81,14.394555,edge3,200
82,15.505297,edge3,200
83,15.489977,edge3,200
84,15.557209,edge3,200
85,14.384072,edge3,200
86,16.083493,edge3,200
87,15.436018,edge3,200
88,15.684791,edge3,200
89,15.723709,edge3,200
90,14.58623,edge3,200
91,14.619641,edge3,200
92,15.31422,edge3,200
93,15.953152,edge3,200
94,14.459349,edge3,200
95,16.513466,edge3,200
96,16.207271,edge3,200
97,15.401225,edge3,200
98,14.099389,edge3,200
99,14.604333,edge3,200
100,15.687921,edge3,200
101,15.476381,edge3,200
102,16.566043,edge3,200
103,15.53336,edge3,200
104,15.311755,edge3,200
105,15.441141,edge3,200
106,14.323965,edge3,200
107,15.958916,edge3,200
108,16.243248,edge3,200
109,16.010518,edge3,200
110,16.125558,edge3,200
111,15.452559,edge3,200
112,17.622589,edge3,200
113,16.044199,edge3,200
114,15.782671,edge3,200
115,14.594837,edge3,200
116,16.056318,edge3,200
117,16.015838,edge3,200
118,14.348258,edge3,200
119,15.70393,edge3,200
120,17.31164,edge3,200
121,16.705891,edge3,200
122,14.601302,edge3,200
123,16.552901,edge3,200
124,15.067085,edge3,200
125,14.436767,edge3,200
126,22.980778,edge3,200
127,15.6914,edge3,200
128,19.406129,edge3,200
129,15.434546,edge3,200
130,15.966531,edge3,200
131,14.403787,edge3,200
132,15.133295,edge3,200
133,15.037575,edge3,200
134,15.534101,edge3,200
135,18.315975,edge3,200
136,16.528183,edge3,200
137,15.685104,edge3,200
138,16.396138,edge3,200
139,15.489711,edge3,200
140,15.868275,edge3,200
141,14.51246,edge3,200
142,16.575141,edge3,200
143,14.536801,edge3,200
144,15.274361,edge3,200
145,14.601838,edge3,200
146,15.820049,edge3,200
147,14.687699,edge3,200
148,16.336547,edge3,200
149,15.111959,edge3,200
150,16.46531,edge3,200
151,16.400701,edge3,200
152,14.842152,edge3,200
153,15.581497,edge3,200
154,14.879383,edge3,200
155,15.621856,edge3,200
156,15.985791,edge3,200
157,14.494088,edge3,200
158,15.515017,edge3,200
159,18.566738,edge3,200
160,15.769007,edge3,200
161,16.318577,edge3,200
162,15.083219,edge3,200
163,16.996541,edge3,200
164,15.151656,edge3,200
165,14.244948,edge3,200
166,16.391214,edge3,200
167,14.83107,edge3,200
168,15.812995,edge3,200
169,15.495948,edge3,200
170,15.318316,edge3,200
171,15.526163,edge3,200
172,15.013579,edge3,200
173,14.50876,edge3,200
174,15.078923,edge3,200
175,12.982306,edge3,200
176,15.456942,edge3,200
177,14.989284,edge3,200
178,14.990545,edge3,200
179,17.047667,edge3,200
180,15.789513,edge3,200
181,15.928018,edge3,200
182,16.722864,edge3,200
183,15.764845,edge3,200
184,15.192242,edge3,200
185,15.521235,edge3,200
186,13.973603,edge3,200
187,15.399378,edge3,200
188,15.636174,edge3,200
189,14.933349,edge3,200
190,14.438613,edge3,200
191,15.569869,edge3,200
192,16.31133,edge3,200
193,14.488534,edge3,200
194,16.437769,edge3,200
195,15.205718,edge3,200
196,15.141717,edge3,200
197,15.672668,edge3,200
198,15.716975,edge3,200
199,15.992391,edge3,200
200,15.822783,edge3,200
201,15.101612,edge3,200
202,16.891944,edge3,200
203,15.855217,edge3,200
204,15.074586,edge3,200
205,17.487195,edge3,200
206,15.056295,edge3,200
207,15.257024,edge3,200
208,16.221426,edge3,200
209,14.789333,edge3,200
210,15.181563,edge3,200
211,13.633814,edge3,200
212,15.342415,edge3,200
213,17.108537,edge3,200
214,14.770131,edge3,200
215,15.356091,edge3,200
216,14.033644,edge3,200
217,14.7454,edge3,200
218,15.16319,edge3,200
219,16.902011,edge3,200
220,16.362397,edge3,200
221,15.446943,edge3,200
222,13.798287,edge3,200
223,14.357814,edge3,200
224,14.153404,edge3,200
225,15.941257,edge3,200
226,16.159338,edge3,200
227,14.462384,edge3,200
228,14.587219,edge3,200
229,15.086916,edge3,200
230,14.681656,edge3,200
231,15.598735,edge3,200
232,16.528081,edge3,200
233,16.426332,edge3,200
234,22.074096,edge3,200
235,16.393086,edge3,200
236,15.579474,edge3,200
237,15.550709,edge3,200
238,14.702102,edge3,200
239,15.331731,edge3,200
240,14.299023,edge3,200
241,15.019605,edge3,200
242,14.226398,edge3,200
243,14.296813,edge3,200
244,16.826615,edge3,200
245,15.209722,edge3,200
246,16.973923,edge3,200
247,14.361663,edge3,200
248,16.240737,edge3,200
249,14.996023,edge3,200
250,15.834277,edge3,200
251,16.412433,edge3,200
252,15.181453,edge3,200
253,15.181443,edge3,200
254,16.288144,edge3,200
255,15.614418,edge3,200
256,16.580852,edge3,200
257,15.73704,edge3,200
258,15.438152,edge3,200
259,15.351068,edge3,200
260,16.200045,edge3,200
261,16.23935,edge3,200
262,15.594944,edge3,200
263,14.969499,edge3,200
264,14.923454,edge3,200
265,15.886777,edge3,200
266,14.418151,edge3,200
267,15.774695,edge3,200
268,14.714913,edge3,200
269,15.599341,edge3,200
270,18.760921,edge3,200
271,14.978465,edge3,200
272,14.97012,edge3,200
273,14.424307,edge3,200
274,15.50533,edge3,200
275,15.528368,edge3,200
276,15.895847,edge3,200
277,14.324823,edge3,200
278,15.210138,edge3,200
279,15.815282,edge3,200
280,15.528644,edge3,200
281,14.342351,edge3,200
282,15.546305,edge3,200
283,14.879651,edge3,200
284,15.097687,edge3,200
285,15.397126,edge3,200
286,14.941221,edge3,200
287,15.507333,edge3,200
288,16.446743,edge3,200
289,14.320248,edge3,200
290,16.763091,edge3,200
291,15.115609,edge3,200
292,16.270199,edge3,200
293,15.925576,edge3,200
294,15.06007,edge3,200
295,20.129319,edge3,200
296,15.520131,edge3,200
297,16.321951,edge3,200
298,16.03558,edge3,200
299,15.968701,edge3,200
300,15.529357,edge3,200
301,15.518056,edge3,200
302,14.123253,edge3,200
303,16.326866,edge3,200
304,16.192535,edge3,200
305,17.733618,edge3,200
306,14.393404,edge3,200
307,16.485591,edge3,200
308,20.008027,edge3,200
309,15.062951,edge3,200
310,15.447381,edge3,200
311,15.9695,edge3,200
312,15.971612,edge3,200
313,16.524406,edge3,200
314,15.826739,edge3,200
315,15.792846,edge3,200
316,16.211407,edge3,200
317,14.719843,edge3,200
318,14.903445,edge3,200
319,15.662358,edge3,200
320,17.048001,edge3,200
321,17.936744,edge3,200
322,15.957871,edge3,200
323,16.490611,edge3,200
324,17.399939,edge3,200
325,18.750936,edge3,200
326,14.456998,edge3,200
327,16.039287,edge3,200
328,15.566445,edge3,200
329,16.274138,edge3,200
330,17.344424,edge3,200
331,15.466789,edge3,200
332,16.125108,edge3,200
333,16.043435,edge3,200
334,15.59566,edge3,200
335,15.422764,edge3,200
336,15.549222,edge3,200
337,15.244267,edge3,200
338,16.872796,edge3,200
339,16.527868,edge3,200
340,23.898496,edge3,200
341,18.085064,edge3,200
342,16.869913,edge3,200
343,15.892213,edge3,200
344,16.213927,edge3,200
345,16.488054,edge3,200
346,16.796127,edge3,200
347,15.866697,edge3,200
348,15.919974,edge3,200
349,14.411827,edge3,200
350,16.259121,edge3,200
351,17.151691,edge3,200
352,15.563577,edge3,200
353,14.667775,edge3,200
354,14.218707,edge3,200
355,16.154492,edge3,200
356,16.504289,edge3,200
357,15.858973,edge3,200
358,14.701183,edge3,200
359,14.808845,edge3,200
360,15.219348,edge3,200
361,15.587497,edge3,200
362,15.521242,edge3,200
363,15.291884,edge3,200
364,14.472665,edge3,200
365,16.802522,edge3,200
366,16.208754,edge3,200
367,15.969198,edge3,200
368,16.550638,edge3,200
369,15.948158,edge3,200
370,14.663347,edge3,200
371,14.596534,edge3,200
372,16.501029,edge3,200
373,14.719148,edge3,200
374,14.069243,edge3,200
375,16.8449,edge3,200
376,21.454157,edge3,200
377,15.031993,edge3,200
378,16.858565,edge3,200
379,16.091048,edge3,200
380,15.632503,edge3,200
381,15.805372,edge3,200
382,16.949267,edge3,200
383,15.020108,edge3,200
384,14.602623,edge3,200
385,15.357062,edge3,200
386,14.669426,edge3,200
387,14.533479,edge3,200
388,15.5669,edge3,200
389,16.016718,edge3,200
390,15.462724,edge3,200
391,16.354947,edge3,200
392,15.822943,edge3,200
393,16.251277,edge3,200
394,15.383317,edge3,200
395,15.960232,edge3,200
396,14.929622,edge3,200
397,15.286449,edge3,200
398,15.476596,edge3,200
399,15.810103,edge3,200
400,16.013234,edge3,200
401,14.752281,edge3,200
402,14.944953,edge3,200
403,16.015868,edge3,200
404,16.590827,edge3,200
405,15.857836,edge3,200
406,15.930176,edge3,200
407,14.686191,edge3,200
408,14.165809,edge3,200
409,15.600904,edge3,200
410,15.745574,edge3,200
411,15.251137,edge3,200
412,14.879559,edge3,200
413,17.715277,edge3,200
414,15.343001,edge3,200
415,16.631139,edge3,200
416,15.104958,edge3,200
417,16.675859,edge3,200
418,17.060674,edge3,200
419,16.047631,edge3,200
420,14.98833,edge3,200
421,15.195521,edge3,200
422,15.154841,edge3,200
423,14.841802,edge3,200
424,16.170984,edge3,200
425,16.251181,edge3,200
426,16.605917,edge3,200
427,15.38631,edge3,200
428,21.631803,edge3,200
429,15.874685,edge3,200
430,17.162188,edge3,200
431,15.820311,edge3,200
432,17.383373,edge3,200
433,18.152934,edge3,200
434,15.558835,edge3,200
435,17.319775,edge3,200
436,15.653999,edge3,200
437,15.592253,edge3,200
438,14.987798,edge3,200
439,16.198977,edge3,200
440,16.025174,edge3,200
441,15.206693,edge3,200
442,13.453531,edge3,200
443,14.916844,edge3,200
444,18.328745,edge3,200
445,16.489496,edge3,200
446,15.568846,edge3,200
447,15.878445,edge3,200
448,15.775698,edge3,200
449,15.984169,edge3,200
450,16.607191,edge3,200
451,17.380759,edge3,200
452,15.852447,edge3,200
453,17.372362,edge3,200
454,15.410567,edge3,200
455,15.273174,edge3,200
456,15.127479,edge3,200
457,16.614167,edge3,200
458,15.277054,edge3,200
459,14.77266,edge3,200
460,15.213939,edge3,200
461,16.492748,edge3,200
462,16.777482,edge3,200
463,16.493794,edge3,200
464,14.656134,edge3,200
465,16.006625,edge3,200
466,17.20757,edge3,200
467,15.279097,edge3,200
468,20.023358,edge3,200
469,21.575614,edge3,200
470,16.677513,edge3,200
471,17.794925,edge3,200
472,17.428328,edge3,200
473,15.882312,edge3,200
474,14.846823,edge3,200
475,16.054356,edge3,200
476,15.96942,edge3,200
477,15.800633,edge3,200
478,15.963731,edge3,200
479,15.527436,edge3,200
480,16.064225,edge3,200
481,15.525677,edge3,200
482,15.041224,edge3,200
483,15.188583,edge3,200
484,15.561549,edge3,200
485,14.35975,edge3,200
486,14.728735,edge3,200
487,16.597794,edge3,200
488,14.669512,edge3,200
489,15.65475,edge3,200
490,15.696797,edge3,200
491,16.83735,edge3,200
492,14.741996,edge3,200
493,16.560075,edge3,200
494,15.879505,edge3,200
495,14.656129,edge3,200
496,16.262233,edge3,200
497,14.231113,edge3,200
498,14.941618,edge3,200
499,16.399442,edge3,200
500,16.120408,edge3,200
501,16.058675,edge3,200
502,16.11741,edge3,200
503,14.481074,edge3,200
504,14.862661,edge3,200
505,15.530048,edge3,200
506,14.572164,edge3,200
507,15.396692,edge3,200
508,15.999257,edge3,200
509,15.831128,edge3,200
510,17.900215,edge3,200
511,16.425512,edge3,200
512,16.577467,edge3,200
513,15.061397,edge3,200
514,14.439455,edge3,200
515,17.542398,edge3,200
516,15.035471,edge3,200
517,16.619036,edge3,200
518,14.37249,edge3,200
519,15.806906,edge3,200
520,16.766725,edge3,200
521,14.973392,edge3,200
522,15.072846,edge3,200
523,15.584332,edge3,200
524,15.656156,edge3,200
525,15.645868,edge3,200
526,16.374182,edge3,200
527,15.17165,edge3,200
528,14.854352,edge3,200
529,16.068415,edge3,200
530,14.719399,edge3,200
531,14.643306,edge3,200
532,14.022994,edge3,200
533,16.233783,edge3,200
534,15.098878,edge3,200
535,16.223904,edge3,200
536,16.157184,edge3,200
537,16.074734,edge3,200
538,15.242631,edge3,200
539,15.818953,edge3,200
540,15.153722,edge3,200
541,16.361221,edge3,200
542,15.774454,edge3,200
543,15.457297,edge3,200
544,14.451843,edge3,200
545,15.918399,edge3,200
546,15.364459,edge3,200
547,16.002951,edge3,200
548,15.960592,edge3,200
549,15.702148,edge3,200
550,13.978587,edge3,200
551,14.040976,edge3,200
552,15.833023,edge3,200
553,16.43325,edge3,200
554,15.522711,edge3,200
555,15.992012,edge3,200
556,14.940719,edge3,200
557,15.55691,edge3,200
558,15.299402,edge3,200
559,14.407861,edge3,200
560,13.850836,edge3,200
561,15.454083,edge3,200
562,14.767262,edge3,200
563,15.709884,edge3,200
564,14.589696,edge3,200
565,15.409734,edge3,200
566,14.531777,edge3,200
567,13.957524,edge3,200
568,15.043551,edge3,200
569,16.500912,edge3,200
570,14.426661,edge3,200
571,14.730716,edge3,200
572,14.039141,edge3,200
573,15.272599,edge3,200
574,15.162218,edge3,200
575,14.638314,edge3,200
576,13.815599,edge3,200
577,14.615348,edge3,200
578,15.739674,edge3,200
579,13.776417,edge3,200
580,14.590203,edge3,200
581,13.558792,edge3,200
582,16.588593,edge3,200
583,14.269402,edge3,200
584,14.632816,edge3,200
585,15.974482,edge3,200
586,16.640091,edge3,200
587,15.71285,edge3,200
588,15.662802,edge3,200
589,15.945256,edge3,200
590,15.176224,edge3,200
591,19.873372,edge3,200
592,15.722626,edge3,200
593,14.787577,edge3,200
594,13.969798,edge3,200
595,15.137735,edge3,200
596,14.050464,edge3,200
597,14.025044,edge3,200
598,15.244973,edge3,200
599,16.771783,edge3,200
600,17.312219,edge3,200
601,16.166851,edge3,200
602,14.996264,edge3,200
603,15.660803,edge3,200
604,14.400385,edge3,200
605,15.457467,edge3,200
606,15.447914,edge3,200
607,16.631156,edge3,200
608,16.448562,edge3,200
609,14.723554,edge3,200
610,15.022081,edge3,200
611,15.184916,edge3,200
612,15.710225,edge3,200
613,15.047591,edge3,200
614,15.566415,edge3,200
615,16.576102,edge3,200
616,15.407114,edge3,200
